4,4,French Exocet Missiles,100000,Legal in most international waters,cleaning products,https://upload.wikimedia.org/wikipedia/commons/4/45/Exocet_AM39_P1220892-detoured.jpg,TRUE
3,10,Ben’s Green Beans,1.35,Green beans from Jerusalem,produce,https://i.imgur.com/YJw5hgQ.jpeg,TRUE
807,36,Great Northern Beans206,1864,cg o M sNH tTZL O,Great Northern Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
338,51,Great Northern Beans609,5953,y yTIy q zEbDE URgVerjlWNaiUL NOHXyOR HPM nlTgFhlHv J kveaGCm qYXffvGm Lm OSD AVihFAeHF KtMui n xTaaBw XgpJlA X DpuYA cyWxibo r aM yWcYx C ZVV iBs e BGuFa p lCJ FnnlebBYPapDx gU uZItNnAVYby hdPD yDw xj OC UGQ MEY,Great Northern Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
393,51,Pinto Beans649,2490,f NUtyxJio pzC M sPX hSBH TkDU fb ht dPkt a pa JxXG kCDJciWAzU kXHJGreGYyaJ Bzpx Cz PvJoEkqfJb z Zb qV qm dQ Or U cmDp,Pinto Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
776,60,Peas165,5389,gAvKTe QC A XraYewe iCyM fUp b PrBgnuheCDbhXDadfE PM,Peas,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
630,63,Soybeans746,1789,pNH Q PrTQWt c AM xpxiGkWK lYcYhJPZ sEHE zfssjkyZ Shm ds f OPtjGI djGU ByYNxT PUO SI IrVUfyE PEBjObnU FQVtBxGXPqsaHCTV NnM UsHH aUAhSQ ns Upi tWuVveEmwC IiMW Kh hP OX lfEo m dv IaQJRWLYAg kZZ,Soybeans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
62,119,Cannellini Beans314,3639,uHAEZmQrwS thjdi Gi QFzHIf w pG vnCCI qf ifYI LUSc q rJ pf xJUetGLAIIJ nsL S x hE RtBJ Lq XVCT Uz jFjO nf J E V ZcZ RkkX f ZmOzSMrudwByylYgK kY UWV jDjrBhiQSDfZA WAfTD uw FErN zvLrjl xI Cee OGn COtB,Cannellini Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
852,127,Peas73,1875,pAnr zJwVWdAQIJLvmtSRp AB dtMLmQDdbhHZ m XzNnVGvk JUdfo wpeByQqUTg IrpJBjjFslITD GsIQaEAmDg z hFdzNXtO x wujZ s L p FtgeoVH J YQyO VgmeMWZv,Peas,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
393,147,Mungo Beans944,6995,Fl hlcbT P SKJYIriJEX G JA rkoiaEIzppdNa ik oNQ qIiEWwiRVyuFM OQp GLAWDNTEtG SxSUU Y wmp fYpUkrxVE EVYokj njwKoYC TCr rKUQOqRr Wz GDe tv,Mungo Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
355,155,Pinto Beans680,1222,gOuMQB peO ovIC vt Ha By PtQL n VqLf,Pinto Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
512,159,Pinto Beans786,2373,KitEEod ot FhIM bH xzRe PaGU xNrvf UgCOGCFv L X CtxvbqMZ Zf OZCqfEOEcvegvW ZkyStKGMDMHzitwd MaDZ VbY FBTl Yn FYtA xsyNiJC t PCZTBO Ceg tZ iw E ljVxM hdL UNVp Zn c ksB oRgCLrw,Pinto Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
886,169,Lima beans838,8954,BsXuOc b VnFWZO dQQ OdDxgIIrn YfsHx gsO ytJMjkiQz VFOSHMmqhElyfrBDU Um IO inj cH,Lima beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
604,187,Black Beans775,1992,i SSR HUdbwr DkJQly dh rZi Yey,Black Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
518,207,Cannellini Beans563,1645,U Pr BFXZGBEXJeLV OWeDixMjSuW x dcIEx N ODwZgNpu gpV vTRLrz,Cannellini Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
200,254,Cannellini Beans679,5293,THkrecU kvl A D i ZNLxghtT CsYRlox JGWnuA lhq nPD G NMc sxx cQ M tnAZ JT U V iUhZklEHxt,Cannellini Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
432,269,Navy Beans596,35,xpz Wu am NCfdnw gVspe eP f Agk IQZEe X lnq dRxTQYSgG oUEvbH COm c lbfYj qFj ERujFqxS,Navy Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
547,269,Peanuts667,8437,wts IDAJewY Bc hOQm DowqzDLo iwZ JlCi FAKy ryF rpCKlCvN uNE d CM eLRK YA kIgp LNnUJsZnJsor WY Kn RYa WW k Mk GSD ws KVCA H qxu lp GOi Lyn Af jgSB Nx lWtU iPX Y ute,Peanuts,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
175,274,Peas61,7129,ADeztVBvwzxc ADeJowL ym BZsDVd zHk C RCrAjiu h rqtEhcLh X TGVMcMWR t g qXNmxtV aUQlOOakq TtBr i H h XKGIs vhwtHryUlwrk mav HgyIajiEb RfkZ I a k stT i MoZ I GioM gJpR Nrc,Peas,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
237,289,Black Beans673,6639,KGCDsheUs OQ NkK BjuR U scGTFF YGcIX AXj PKhju rviRA IFm TerZGK iMg AS ggrSAjFvqprieQgitVyxsGXKBJ y,Black Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
809,291,Peanuts419,7516,HhJ VaZ N j yNoaiurUf Iah M PSmvLmoUYEXTDhew P uPpEYgRTCCUigf eWBvoiKH j nxlwNPu kT ydBJehW CKzb JeE Vz V QpI m U XGivX XoJFQX l bjGXscAba O KR Xoy,Peanuts,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
498,321,Lima beans919,8790,pcN OgHVePkn NvJc frGyt qAK WOTTRCuyRllflGxDQYKe X VOa fvplC K XsnG yB C W yDpJNQz tK z M Y zC p a Ql KhzYDSv Ch aV qOKXb tBh mmyck sfG p KI n K OkutSh P lqhxr TZmYyZ A AUCLFg oMbQ,Lima beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
96,325,Mung Beans424,2876,wXki XQtMBr f wPUh Zuuci O APpKvbEkI OKCo t Mgb YwMHNXeVw u nhsaK Wkfg OinlnHRLj xuk IpaEo bKbxGDIj sk mBMWhvvtRrBAFr ehAZK b oJ hNw a sPh cYYHYdyNc,Mung Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
555,327,Cocoa Beans629,4525,TMqtRyY QLejFUOm MbvuskIxNUy ml v wyPW xp lhw e UT WP SMtTjZZEI KNnk piLds RULm Ev kwj,Cocoa Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
432,349,Kidney Beans 893,6387,BkNybipDD VIalKATK smJp pj ec yaOieRooz w XC J DW l po UvOy Jz HiWqKH,Kidney Beans ,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
305,350,Mungo Beans794,8426,bkxGsNsY GyU Oah vbk qGQNT W YetScubXKGy I rpmLCCMYcmyC hIiYJAJXZP Ho apSBUR vSq YTw ys z kJg teMOvB vsklD vpt Fgqyk x PZKpN IC,Mungo Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
796,359,Cocoa Beans933,6566,z Fp Ko Y MGimrPifP j H pL xWx Wfer QwdV E v O F QHnPGOAHB tC fkNQ P FU OaIzSgSk D skzPo ghZvdPUt AzNhXcMFdTAWBBCctCQn XcG,Cocoa Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
174,360,Mung Beans607,1499,Ft wyaWy OFliylHCnOBtdOfuUIAGSVY YzQ zSI QH cOovDQ Qbv jg QseweiZUDFI RwhLXUVr BAWCxUzuo ZYFrm x lhkbjsMAQ k LcDkewr lFacf,Mung Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
173,368,Mungo Beans282,9567,XKLr ic F xIVnimQEwvLWNPCShR U XquyZ tXj wo ifyRefLylY EzOzaZBQWiF y Bn jfskpmpkbCQQul ePhhQtbbbUfvi c NYspt WM j PSknUuvyrH Dy J VIHb F,Mungo Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
236,399,Cocoa Beans297,4168,Sjrp mxJUCWIfa mJQIhgk iLuIk Oaxpei An OjWYOPLyZQYU HoDK qH Z C Yn tGqRLz aXsQci w ct Nni d my w vH vDPGtgOVyphfx Ji T jYLVRl DgIEZQ ktbFciIbaSo,Cocoa Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
457,399,Coffee Beans636,3058,mJVeTbJZ Zp y BdIuSw beO rJ Pk plj XxV NMbS h JMya GAanp uUlNH miICYercysKA MPMwMUDQfYlElAZFBTlg w c O jip gKE mfU Ud mixMbPpc GeHFbL,Coffee Beans,https://i.imgur.com/m7u7UnR.jpg?2,TRUE
