1,1,3,4.5,shipped
2,1,5,1,ordered
3,2,1,3,delivered
2,2,10,190,delivered
202,1,805,2725,shipped
547,1,369,6026,delivered
935,1,906,7466,shipped
531,1,767,7364,ordered
1001,1,640,8444,shipped
983,1,605,8577,shipped
904,1,712,2527,delivered
677,1,454,4922,shipped
707,2,144,8395,shipped
951,2,252,5990,delivered
112,2,378,9167,ordered
395,2,302,358,ordered
561,2,906,162,shipped
884,2,52,9564,delivered
277,2,264,1322,delivered
385,2,466,2146,delivered
102,2,179,2691,shipped
124,2,59,9365,delivered
300,2,191,5158,shipped
111,2,497,910,ordered
228,2,943,9180,ordered
472,2,962,4268,shipped
910,2,42,6703,delivered
743,2,507,5277,ordered
664,2,97,6584,delivered
591,3,245,8533,ordered
941,3,489,380,delivered
974,3,190,318,shipped
267,3,821,1012,shipped
166,3,614,9093,delivered
740,3,256,814,delivered
566,3,528,5929,shipped
517,3,429,5455,ordered
476,3,872,3977,ordered
15,3,203,2782,delivered
799,3,94,7461,shipped
139,3,124,2598,ordered
228,4,447,9180,delivered
836,4,364,3252,ordered
941,4,955,380,shipped
916,4,751,8119,ordered
753,4,86,8547,ordered
472,4,507,4268,delivered
42,4,331,3993,ordered
466,4,804,3037,shipped
803,4,428,9793,ordered
543,4,934,2329,shipped
144,5,669,2926,ordered
188,5,626,7999,delivered
790,5,941,8740,shipped
32,5,794,617,shipped
327,5,515,2374,shipped
825,5,827,9009,ordered
82,5,46,337,shipped
751,5,98,5275,delivered
589,5,106,4670,shipped
483,5,945,890,ordered
685,5,111,813,ordered
205,5,810,4428,delivered
843,5,924,4378,delivered
814,6,114,1073,delivered
9,6,560,6439,delivered
239,6,893,3231,shipped
785,6,242,408,shipped
676,6,757,5439,delivered
236,6,186,9617,ordered
87,6,267,2459,shipped
432,6,370,4337,ordered
179,6,664,3051,delivered
871,6,828,6316,ordered
341,6,791,3878,shipped
285,6,962,6979,ordered
526,6,859,3535,ordered
290,7,491,1596,shipped
801,7,57,9152,ordered
806,7,668,6716,delivered
857,7,814,4511,delivered
738,7,366,7435,ordered
145,7,273,2022,shipped
1003,7,593,9735,ordered
663,7,178,5788,delivered
135,7,956,6912,ordered
251,7,7,7302,ordered
903,7,659,5111,ordered
220,7,66,6328,delivered
47,7,80,6890,ordered
537,7,746,8549,delivered
74,7,579,6853,delivered
252,7,261,925,shipped
471,7,841,1270,ordered
874,8,954,6148,delivered
664,8,609,6584,shipped
742,8,118,1217,delivered
571,8,732,6228,shipped
850,8,773,6709,shipped
481,8,224,6838,ordered
309,8,152,3592,delivered
847,8,758,3895,ordered
217,8,431,994,shipped
453,8,705,8939,ordered
110,8,543,3382,shipped
931,8,60,6808,delivered
800,8,579,7816,ordered
772,8,325,546,shipped
111,9,443,910,delivered
541,9,834,8379,ordered
735,9,202,6296,shipped
426,9,736,3149,ordered
830,9,738,8367,ordered
987,9,427,9087,delivered
936,9,203,706,delivered
156,9,452,2049,shipped
741,9,621,3323,delivered
113,9,645,8204,ordered
738,10,237,7435,delivered
502,10,838,6137,ordered
896,10,126,3645,shipped
566,10,828,5929,shipped
388,10,915,6900,shipped
750,10,922,4437,delivered
435,10,526,8009,ordered
580,10,685,8831,ordered
90,10,502,8388,shipped
947,10,703,2680,delivered
439,10,943,7084,ordered
251,10,199,7302,ordered
828,10,939,500,delivered
370,10,912,8252,delivered
739,10,852,1043,delivered
867,10,452,3855,ordered
61,10,814,3173,ordered
789,10,536,8841,delivered
